12;fruit;Other fruit tree
14;hazel;Hazelnut
15;walnut;Walnut tree
17;nuts;Other nuts
18;blackberry;Blackberry
21;elder;Elderberry
22;raspberry;Raspberry
24;cornel;cherry Cornel
26;seaberry;Sea Buckthorn
27;hip;Rose hip
28;sloe;Blackthorn
30;berry;Other fruit bush
31;ramsons;Wild Garlic
35;woodruff;Woodruff
37;herbs;Other herbs
4;apple;Apple tree
5;pear;Pear tree
6;cherry;Cherry tree
7;mirabelle;Yellow Plum
8;plum;Plum tree
